id,Predicted
0,1160916.9
1,1543696.8
2,1387726.0
3,758108.5
4,791625.25
5,690334.25
6,5844568.5
7,1030950.1
8,425758.28
9,1725712.8
10,6725350.0
11,1728309.1
12,1512201.0
13,554570.75
14,1251506.8
15,3154971.8
16,680235.5
17,1591792.1
18,577095.0
19,420928.78
20,1835277.1
21,743792.75
22,1032851.5
23,2933686.5
24,1828848.4
25,792136.0
26,1664557.1
27,901703.25
28,11270057.0
29,454201.53
30,6595817.5
31,690334.25
32,805407.25
33,2026305.0
34,1374800.4
35,973527.4
36,787256.75
37,6338756.0
38,9027725.0
39,3657709.0
40,8484324.0
41,704853.25
42,635274.75
43,5601410.5
44,859936.75
45,538096.5
46,710198.0
47,1736887.6
48,473087.03
49,574702.5
50,454385.03
51,765843.75
52,1716472.9
53,10263541.0
54,6748369.5
55,641148.5
56,1250037.4
57,3605816.0
58,2567935.2
59,1444932.2
60,8774896.0
61,2579284.5
62,4139591.0
63,2006367.9
64,10263541.0
65,641932.25
66,657835.75
67,454004.78
68,690334.25
69,595196.0
70,588123.25
71,1566032.1
72,3668447.0
73,1777099.9
74,379365.28
75,488026.53
76,1172866.9
77,551420.75
78,1395677.4
79,599198.0
80,474214.03
81,1160916.9
82,6533027.5
83,1866801.4
84,2997545.0
85,4289973.5
86,1894338.2
87,10518794.0
88,692856.0
89,1868273.1
90,12199779.0
91,388652.28
92,1595906.0
93,7933497.0
94,1325493.8
95,743792.75
96,1186127.9
97,2928280.2
98,1338874.2
99,11894147.0
100,1421943.1
101,6186877.0
102,12279989.0
103,3578461.5
104,831993.0
105,1953095.0
106,11686591.0
107,1308595.5
108,1934451.4
109,672324.25
110,3722335.8
111,1640308.5
112,495751.28
113,4103885.2
114,1557305.2
115,657377.75
116,7003538.5
117,410354.78
118,2543852.2
119,1186127.9
120,5690463.0
121,11308084.0
122,680893.25
123,1787171.4
124,5908490.5
125,2860915.0
126,1444932.2
127,1587059.0
128,886201.75
129,2674708.2
130,5968213.0
131,6849343.0
132,3175516.0
133,582161.75
134,10543655.0
135,2284922.2
136,1664557.1
137,1658441.8
138,680235.5
139,11150013.0
140,470364.28
141,4303921.0
142,2035057.4
143,559132.25
