id,Predicted
0,1059814.2
1,1749991.2
2,1078679.9
3,830133.75
4,640604.0
5,783799.75
6,6346886.0
7,915650.75
8,517098.78
9,1825811.1
10,7483143.0
11,2068128.2
12,1549038.5
13,786430.0
14,1166212.6
15,2848665.5
16,846128.75
17,1473804.5
18,708551.5
19,507374.03
20,1590150.8
21,919126.5
22,1149188.9
23,3385546.8
24,1532793.4
25,820998.5
26,1724578.9
27,948697.4
28,11331097.0
29,668476.75
30,7083247.5
31,901734.0
32,903104.0
33,1532793.4
34,1462237.1
35,1650085.9
36,839958.0
37,5934045.0
38,7099423.5
39,3962438.2
40,8455622.0
41,915224.0
42,690908.5
43,5061433.5
44,1522982.4
45,573977.25
46,784856.0
47,1639692.0
48,706959.75
49,722564.75
50,736029.25
51,794812.25
52,1935006.6
53,9848331.0
54,6966439.0
55,700409.25
56,1441535.2
57,3211260.5
58,2338208.2
59,1413657.0
60,8768276.0
61,2609395.8
62,3994072.2
63,1945693.4
64,9848331.0
65,822939.0
66,812244.5
67,577335.75
68,877255.5
69,672601.75
70,782586.5
71,1658680.0
72,2800707.5
73,1491630.6
74,623054.5
75,590184.75
76,1645740.1
77,800428.75
78,1472210.1
79,895395.5
80,620677.75
81,1059814.2
82,6481162.0
83,1829094.1
84,2516031.0
85,5344107.5
86,1491630.6
87,9483901.0
88,1004902.9
89,1684875.1
90,15645080.0
91,632969.0
92,1735267.9
93,7479410.5
94,1616061.1
95,782326.0
96,1017348.5
97,2305966.8
98,1375213.4
99,12344814.0
100,1214125.9
101,5703827.5
102,11516295.0
103,3946504.2
104,835519.0
105,2055903.5
106,11034883.0
107,1673570.4
108,1776216.2
109,763727.75
110,3828543.0
111,1390777.5
112,779844.0
113,4279225.0
114,1536913.5
115,945132.0
116,2718817.0
117,600938.0
118,3037731.0
119,1034109.25
120,5214410.5
121,11049831.0
122,792971.5
123,1829094.1
124,6310646.5
125,3447776.2
126,1413657.0
127,1677550.8
128,1596814.8
129,2486831.8
130,6473812.5
131,6211745.5
132,3338371.0
133,949215.9
134,10770332.0
135,3069017.8
136,1724578.9
137,1376608.5
138,700118.0
139,9290714.0
140,537940.25
141,3442475.8
142,2073776.5
143,699792.0
144,10710832.0
145,2816362.5
146,3112908.8
147,1148560.0
148,44657600.0
149,3308802.5
150,7050095.5
151,2252403.0
152,736063.25
153,1550708.2
154,5961592.0
155,3828050.5
156,6205885.0
157,2064364.6
158,4801722.5
159,1490259.6
160,1355293.0
161,3548985.5
162,961238.75
163,974171.0
164,908493.0
165,623774.5
166,23717042.0
167,10674740.0
168,899999.5
169,1902453.1
170,9339558.0
171,1623566.9
172,1213274.2
173,8321621.0
174,4261860.5
175,523477.78
176,5753002.0
177,1489675.9
178,1064953.1
179,2466217.8
180,986732.75
181,8010045.0
182,516565.78
183,11662200.0
184,1673570.4
185,703931.25
186,1488615.5
187,2530302.5
188,4589649.0
189,1545339.0
190,2208361.5
191,1375112.0
192,1153784.9
193,3020401.0
194,612175.0
195,4279225.0
196,949452.75
197,1111486.0
198,1213950.5
199,8744934.0
200,1292197.8
201,2384113.8
202,3365830.0
203,5192717.0
204,5037013.5
205,2068128.2
206,1658680.0
207,1600318.2
208,2597062.5
209,620381.25
210,3849679.8
211,4567166.5
212,511170.78
213,611132.5
214,2068574.2
215,1442103.8
216,1490259.6
217,737697.5
218,2173147.8
219,794936.25
220,1423521.0
221,472414.53
222,1088201.6
223,11221573.0
